"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2009",493,
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2012",481.151,
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2015",491,
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2018",496,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2006",514,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2009",520,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2012",518.255,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2015",508,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2018",495,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2006",418,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2009",448,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2012",458.316,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2015",422,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2018",465,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2006",520,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2009",519,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2012",520.622,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2015",510,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2018",506,
"USA","PISASCIENCE","BOY","MEANSCORE","A","2006",489,
"USA","PISASCIENCE","BOY","MEANSCORE","A","2009",509,
"USA","PISASCIENCE","BOY","MEANSCORE","A","2012",496.529,
"USA","PISASCIENCE","BOY","MEANSCORE","A","2015",500,
"USA","PISASCIENCE","BOY","MEANSCORE","A","2018",503,
"BRA","PISASCIENCE","BOY","MEANSCORE","A","2006",395,
"BRA","PISASCIENCE","BOY","MEANSCORE","A","2009",407,
"BRA","PISASCIENCE","BOY","MEANSCORE","A","2012",405.541,
"BRA","PISASCIENCE","BOY","MEANSCORE","A","2015",403,
"BRA","PISASCIENCE","BOY","MEANSCORE","A","2018",403,
"CHL","PISASCIENCE","BOY","MEANSCORE","A","2006",448,
"CHL","PISASCIENCE","BOY","MEANSCORE","A","2009",452,
"CHL","PISASCIENCE","BOY","MEANSCORE","A","2012",448.441,
"CHL","PISASCIENCE","BOY","MEANSCORE","A","2015",454,
"CHL","PISASCIENCE","BOY","MEANSCORE","A","2018",445,
"EST","PISASCIENCE","BOY","MEANSCORE","A","2006",530,
"EST","PISASCIENCE","BOY","MEANSCORE","A","2009",527,
"EST","PISASCIENCE","BOY","MEANSCORE","A","2012",540.177,
"EST","PISASCIENCE","BOY","MEANSCORE","A","2015",536,
"EST","PISASCIENCE","BOY","MEANSCORE","A","2018",528,
"IDN","PISASCIENCE","BOY","MEANSCORE","A","2006",399,
"IDN","PISASCIENCE","BOY","MEANSCORE","A","2009",378,
"IDN","PISASCIENCE","BOY","MEANSCORE","A","2012",380.409,
"IDN","PISASCIENCE","BOY","MEANSCORE","A","2015",401,
"IDN","PISASCIENCE","BOY","MEANSCORE","A","2018",393,
"ISR","PISASCIENCE","BOY","MEANSCORE","A","2006",456,
"ISR","PISASCIENCE","BOY","MEANSCORE","A","2009",453,
"ISR","PISASCIENCE","BOY","MEANSCORE","A","2012",469.715,
"ISR","PISASCIENCE","BOY","MEANSCORE","A","2015",469,
"ISR","PISASCIENCE","BOY","MEANSCORE","A","2018",452,
"RUS","PISASCIENCE","BOY","MEANSCORE","A","2009",477,
"RUS","PISASCIENCE","BOY","MEANSCORE","A","2012",483.532,
"RUS","PISASCIENCE","BOY","MEANSCORE","A","2015",489,
"RUS","PISASCIENCE","BOY","MEANSCORE","A","2018",477,
"SVN","PISASCIENCE","BOY","MEANSCORE","A","2006",515,
"SVN","PISASCIENCE","BOY","MEANSCORE","A","2009",505,
"SVN","PISASCIENCE","BOY","MEANSCORE","A","2012",509.882,
"SVN","PISASCIENCE","BOY","MEANSCORE","A","2015",510,
"SVN","PISASCIENCE","BOY","MEANSCORE","A","2018",502,
"OAVG","PISASCIENCE","BOY","MEANSCORE","A","2006",499.441,
"OAVG","PISASCIENCE","BOY","MEANSCORE","A","2009",500.853,
"OAVG","PISASCIENCE","BOY","MEANSCORE","A","2012",501.863,
"OAVG","PISASCIENCE","BOY","MEANSCORE","A","2015",495,
"OAVG","PISASCIENCE","BOY","MEANSCORE","A","2018",488,
"LVA","PISASCIENCE","BOY","MEANSCORE","A","2015",485,
"LVA","PISASCIENCE","BOY","MEANSCORE","A","2018",483,
"SGP","PISASCIENCE","BOY","MEANSCORE","A","2015",559,
"COL","PISASCIENCE","BOY","MEANSCORE","A","2015",421,
"COL","PISASCIENCE","BOY","MEANSCORE","A","2018",420,
"HKG","PISASCIENCE","BOY","MEANSCORE","A","2015",523,
"PER","PISASCIENCE","BOY","MEANSCORE","A","2015",402,
"TWN","PISASCIENCE","BOY","MEANSCORE","A","2015",535,
"MAC","PISASCIENCE","BOY","MEANSCORE","A","2015",525,
"CRI","PISASCIENCE","BOY","MEANSCORE","A","2018",420,
"LTU","PISASCIENCE","BOY","MEANSCORE","A","2018",479,
